"product_id";"product_name";"category";"subcategory";"brand";"cost_price";"regular_price"
"P1001";"4K Smart TV 55""";"Electronics";"TV & Home Theater";"MetroVision";320.0;499.0
"P1002";"Wireless Noise-Canceling Headphones";"Electronics";"Audio";"SoundCloud";80.0;149.0
"P1003";"Air Fryer 6Qt";"Home & Kitchen";"Appliances";"HomeBreeze";45.0;99.0
"P1004";"Gaming Laptop 15""";"Electronics";"Computers";"FireByte";650.0;999.0
"P1005";"Espresso Coffee Maker";"Home & Kitchen";"Coffee & Tea";"BeanCraft";70.0;159.0
"P1006";"Smartwatch Series X";"Electronics";"Wearables";"MetroVision";90.0;159.0
"P1007";"Portable Bluetooth Speaker";"Electronics";"Audio";"SoundCloud";35.0;69.0
"P1008";"Robot Vacuum Cleaner";"Home & Kitchen";"Appliances";"HomeBreeze";120.0;229.0
"P1009";"Premium Winter Jacket";"Fashion";"Clothing";"NorthCloth";45.0;99.0
"P1010";"Running Sneakers";"Fashion";"Footwear";"FlexStride";40.0;89.0
"P1011";"NextGen Gaming Console";"Electronics";"Gaming";"FireByte";280.0;399.0
"P1012";"10"" Android Tablet";"Electronics";"Tablets";"MetroVision";130.0;229.0
"P1013";"Smartwatch Series Z";"Electronics";"Wearables";"MetroVision";95.0;179.0
"P1014";"Scented Candle Gift Set";"Home & Kitchen";"Decor";"Glow&Co";10.0;29.0
"P1015";"Dyson Supersonic Hair Dryer";"Beauty";"Hair Care";"Dyson";250.0;429.0
